season,player,link,tm,mp
1995,Tom Hammonds,/players/h/hammoto01.html,DEN,959
1995,Darrin Hancock,/players/h/hancoda01.html,CHH,423.2
1995,Anfernee Hardaway,/players/h/hardaan01.html,ORL,2902.9
1995,Tim Hardaway,/players/h/hardati01.html,GSW,2318.7999999999997
1995,Jerome Harmon,/players/h/harmoje01.html,PHI,158
1995,Derek Harper,/players/h/harpede01.html,NYK,2720
1995,Ron Harper,/players/h/harpero01.html,CHI,1532.3
1995,Lucious Harris,/players/h/harrilu01.html,DAL,1698.5
1995,Tony Harris,/players/h/harrito01.html,BOS,18
1995,Antonio Harvey,/players/h/harvean01.html,LAL,572.3
1995,Hersey Hawkins,/players/h/hawkihe01.html,CHH,2730.6
1995,Steve Henson,/players/h/hensost01.html,POR,381.1
1995,Carl Herrera,/players/h/herreca01.html,HOU,1329.8
1995,Rod Higgins,/players/h/higgiro01.html,GSW,46
1995,Sean Higgins,/players/h/higgise01.html,NJN,735.3000000000001
1995,Grant Hill*,NA,DET,2681
1995,Tyrone Hill,/players/h/hillty01.html,CLE,2394
1995,Donald Hodge,/players/h/hodgedo01.html,DAL,631.8
1995,Jeff Hornacek,/players/h/hornaje01.html,UTA,2697.2999999999997
1995,Robert Horry,/players/h/horryro01.html,HOU,2073.6
1995,Allan Houston,/players/h/houstal01.html,DET,1998.8
1995,Byron Houston,/players/h/houstby01.html,SEA,257.4
1995,Tom Hovasse,/players/h/hovasto01.html,ATL,4
1995,Juwan Howard,/players/h/howarju01.html,WSB,2346.5
1995,Jay Humphries,/players/h/humphja01.html,UTA,148.8
1995,Jay Humphries,/players/h/humphja01.html,BOS,52.199999999999996
1995,Lindsey Hunter,/players/h/hunteli01.html,DET,945
1995,Bobby Hurley,/players/h/hurlebo01.html,SAC,1108.4
1995,Jaren Jackson,/players/j/jacksja01.html,PHI,256.2
1995,Jim Jackson,/players/j/jacksji01.html,DAL,1983.8999999999999
1995,Mark Jackson,/players/j/jacksma01.html,IND,2402.6
1995,Keith Jennings,/players/j/jennike01.html,GSW,1720
1995,Avery Johnson,/players/j/johnsav01.html,SAS,3009.4
1995,Ervin Johnson,/players/j/johnser02.html,SEA,908.8
1995,Kevin Johnson,/players/j/johnske02.html,PHO,1353.6000000000001
1995,Larry Johnson,/players/j/johnsla02.html,CHH,3231.9
1995,Askia Jones,/players/j/jonesas01.html,MIN,138.6
1995,Charles Jones,/players/j/jonesch01.html,HOU,36
1995,Eddie Jones,/players/j/jonesed02.html,LAL,1984
1995,Popeye Jones,/players/j/jonespo01.html,DAL,2384
1995,Michael Jordan*,NA,CHI,668.0999999999999
1995,Adam Keefe,/players/k/keefead01.html,UTA,1267.5
1995,Shawn Kemp,/players/k/kempsh01.html,SEA,2681.4
1995,Steve Kerr,/players/k/kerrst01.html,CHI,1836.8
